series;sheet;pixel x;pixel y; wgs84 lat;wgs84 lon;place;interpolated lat;interpolated lon;residual meters
veldmin;7.6.5;989;3110;53.204921;5.804712;Leeuwarden;53.280653;5.816417;8456
veldmin;7.61.1;811;5192;50.848819;5.687873;Maastricht;50.891691;6.008564;23003
